"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1,C5,C15";"C_0805";3;"2u2";;;
2;"C2";"C_0603";1;"10u";;;
3;"C3,C4,C8,C9,C10";"C_0603";5;"1u";;;
4;"C6,C13";"C_0603";2;"C_Small";;;
5;"C7,C11,C12,C16,C17";"C_0603";5;"100n";;;
6;"C14";"C_0805_3";1;"1000p 50V .4A";;;
7;"D5";"D_SMB";1;"SMBJ28A";;;
8;"D6,D9";"Dual_Led_0605";2;"LED_Dual_ACAC";;;
9;"D8";"SOT-23";1;"NUP1105LT1G";;;
10;"F1";"Fuse_SMD1206_Reflow";1;"125mA";;;
11;"J1";"SMA-EDGE";1;"CONN_COAXIAL";;;
12;"J2";"GS3";1;"GS3";;;
13;"L1,L2,L4,L5";"L_0603";4;"BLM11A102S";;;
14;"L3";"L_0603";1;"600Ohm";;;
15;"R1,R3,R4,R5,R7,R9,R13,R14";"R_0603";8;"3k3";;;
16;"R2";"R_0603";1;"400k";;;
17;"R6";"L_0805";1;"1k";;;
18;"R8,R10,R11,R12,R15,R16";"R_0603";6;"1k";;;
19;"SW1,SW2";"SW_SPST_B3S-1000";2;"SW_Push";;;
20;"U1";"SON100P300X300X110-7N";1;"SHT2x";;;
21;"U2";"MiasOled14";1;"OLED14";;;
22;"U3";"HCLGA-8_2x2.5mm_Pitch0.65mm_ClockwisePinNumbering";1;"NPA-201";;;
23;"U4";"RFM69HW_SMD";1;"RFM95HW";;;
24;"U5";"SOIC-8_3.9x4.9mm_Pitch1.27mm";1;"MAX3072E";;;
25;"U6";"DFN-8-1EP_3x3mm_Pitch0.65mm";1;"TJA1029TK";;;
26;"U7,U8";"SO-4_4.4x3.6mm_Pitch2.54mm";2;"PC817";;;
27;"J3";"Pin_Header_Straight_2x20";1;"Raspberry_Pi_2_3";;;
28;",,,";"RPi_Hat_Mounting_Hole";4;"";;;
29;"D10";"D_SMA";1;"SMLVT3V3";;;
30;"F2";"R_0805";1;"0805L010YR";;;
31;"Q1";"SOT-23";1;"n.p";;;
32;"R17";"R_0603";1;"n.p";;;
33;"U9";"SOIC-8_3.9x4.9mm_Pitch1.27mm";1;"DS2482-100";;;
34;"ZD1";"SO-6_4.4x3.6mm_Pitch1.27mm";1;"DS9503P";;;
35;"J4";"PhoenixContact_MC-G_10x3.50mm_Angled";1;"Screw_Terminal_1x10";;;
36;"D1,D2,D3,D4";"D_SOD-523";4;"1N4148WT";;;
37;"D7";"D_SOD-523";1;"1N4848WT";;;
